Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2020,7,15,17,37,18,-99.989997,-99.989997,-99.989997,4,1,45,34.60
2020,7,15,17,38,18,-99.989997,-99.989997,-99.989997,4,1,45,42.79
2020,7,15,17,39,18,-99.989997,-99.989997,-99.989997,4,1,45,39.12
2020,7,15,17,40,19,-99.989997,-99.989997,-99.989997,4,1,45,45.80
2020,7,15,17,41,19,-99.989997,-99.989997,-99.989997,4,1,45,47.96
2020,7,15,17,42,19,-99.989997,-99.989997,-99.989997,4,1,45,51.63
2020,7,15,17,43,19,-99.989997,-99.989997,-99.989997,4,1,45,49.47
2020,7,15,17,44,19,-99.989997,-99.989997,-99.989997,4,1,45,53.14
2020,7,15,17,45,18,-99.989997,-99.989997,-99.989997,4,1,45,54.65
2020,7,15,17,46,18,-99.989997,-99.989997,-99.989997,4,1,45,54.65
2020,7,15,17,47,18,-99.989997,-99.989997,-99.989997,4,1,45,52.49
2020,7,15,17,48,18,-99.989997,-99.989997,-99.989997,4,1,45,39.13
2020,7,15,17,49,19,-99.989997,-99.989997,-99.989997,4,1,45,39.13
2020,7,15,17,50,19,-99.989997,-99.989997,-99.989997,4,1,45,37.62
2020,7,15,17,51,18,-99.989997,-99.989997,-99.989997,4,1,45,35.46
2020,7,15,17,52,18,-99.989997,-99.989997,-99.989997,4,1,45,33.95
2020,7,15,17,53,18,-99.989997,-99.989997,-99.989997,4,1,45,48.82
2020,7,15,17,54,17,-99.989997,-99.989997,-99.989997,4,1,45,45.15
2020,7,15,17,55,18,-99.989997,-99.989997,-99.989997,4,1,45,47.31
2020,7,15,17,56,18,-99.989997,-99.989997,-99.989997,4,1,45,49.47
2020,7,15,17,57,18,-99.989997,-99.989997,-99.989997,4,1,45,42.79
2020,7,15,17,58,18,-99.989997,-99.989997,-99.989997,4,1,45,34.59
2020,7,15,17,59,18,-99.989997,-99.989997,-99.989997,4,1,45,34.59
2020,7,15,18,0,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,1,18,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,18,2,18,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,18,3,17,-99.989997,-99.989997,-99.989997,4,1,45,27.91
2020,7,15,18,4,18,-99.989997,-99.989997,-99.989997,4,1,45,21.23
2020,7,15,18,5,18,-99.989997,-99.989997,-99.989997,4,1,45,21.23
2020,7,15,18,6,18,-99.989997,-99.989997,-99.989997,4,1,45,21.23
2020,7,15,18,7,18,-99.989997,-99.989997,-99.989997,4,1,45,21.23
2020,7,15,18,8,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,9,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,10,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,11,17,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,18,12,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,13,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,14,18,-99.989997,-99.989997,-99.989997,4,1,45,32.44
2020,7,15,18,15,18,-99.989997,-99.989997,-99.989997,4,1,45,39.12
2020,7,15,18,16,18,-99.989997,-99.989997,-99.989997,4,1,45,32.44
2020,7,15,18,17,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,18,17,-99.989997,-99.989997,-99.989997,4,1,45,36.75
2020,7,15,18,19,17,-99.989997,-99.989997,-99.989997,4,1,45,30.07
2020,7,15,18,20,17,-99.989997,-99.989997,-99.989997,4,1,45,30.07
2020,7,15,18,21,18,-99.989997,-99.989997,-99.989997,4,1,45,30.07
2020,7,15,18,22,18,-99.989997,-99.989997,-99.989997,4,1,45,36.75
2020,7,15,18,23,18,-99.989997,-99.989997,-99.989997,4,1,45,23.59
2020,7,15,18,24,18,-99.989997,-99.989997,-99.989997,4,1,45,23.59
2020,7,15,18,25,18,-99.989997,-99.989997,-99.989997,4,1,45,23.59
2020,7,15,18,26,18,-99.989997,-99.989997,-99.989997,4,1,45,23.59
2020,7,15,18,27,17,-99.989997,-99.989997,-99.989997,4,1,45,16.91
2020,7,15,18,28,17,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,18,29,17,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,30,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,31,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,32,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,33,18,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,18,34,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,35,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,36,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,37,17,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,38,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,39,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,40,18,-99.989997,-99.989997,-99.989997,4,1,45,5.70
2020,7,15,18,41,18,-99.989997,-99.989997,-99.989997,4,1,45,5.70
2020,7,15,18,42,18,-99.989997,-99.989997,-99.989997,4,1,45,5.70
2020,7,15,18,43,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,44,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,45,18,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,18,46,17,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,47,18,-99.989997,-99.989997,-99.989997,4,1,45,30.28
2020,7,15,18,48,18,-99.989997,-99.989997,-99.989997,4,1,45,23.59
2020,7,15,18,49,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,50,18,-99.989997,-99.989997,-99.989997,4,1,45,25.75
2020,7,15,18,51,18,-99.989997,-99.989997,-99.989997,4,1,45,19.07
2020,7,15,18,52,18,-99.989997,-99.989997,-99.989997,4,1,45,14.55
2020,7,15,18,53,18,-99.989997,-99.989997,-99.989997,4,1,45,14.55
2020,7,15,18,54,17,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,18,55,17,-99.989997,-99.989997,-99.989997,4,1,45,5.70
2020,7,15,18,56,18,-99.989997,-99.989997,-99.989997,4,1,45,5.70
2020,7,15,18,57,18,-99.989997,-99.989997,-99.989997,4,1,45,5.70
2020,7,15,18,58,18,-99.989997,-99.989997,-99.989997,4,1,45,5.70
2020,7,15,18,59,18,-99.989997,-99.989997,-99.989997,4,1,45,5.70
2020,7,15,19,0,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,19,1,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
2020,7,15,19,2,18,-99.989997,-99.989997,-99.989997,4,1,45,12.39
